School Name,URL,City,State
Mercer University,admissions@mercer.edu,Macon,GA
Middle Georgia State College,admissions@mga.edu,Macon,GA
Morehouse College,admissions@morehouse.edu,Atlanta,GA
Morehouse School of Medicine,admissions@msm.edu,Atlanta,GA
North Georgia Technical College,admissions@northgatech.edu,(multiple locations),GA
Oglethorpe University,admissions@oglethorpe.edu,Atlanta,GA
Okefenokee Technical College,admissions@okefenokeetech.edu,Waycross,GA
Paine College,admissions@paine.edu,Augusta,GA
Pfeiffer University,admissions@pfeiffer.edu,Decatur,GA
Piedmont College,admissions@piedmont.edu,Demorest,GA
Reinhardt University,admissions@reinhardt.edu,Waleska,GA
Savannah State University,admissions@savannahstate.edu,Savannah,GA
Savannah College of Art and Design,admissions@scad.edu,Savannah,GA
Shorter University,admissions@shorter.edu,(multiple locations),GA
Southeastern Technical College,admissions@southeasterntech.edu,Vidalia,GA
Spelman College,admissions@spelman.edu,Atlanta,GA
Southern Polytechnic State University,admissions@spsu.edu,Marietta,GA
Thomas University,admissions@thomasu.edu,Thomasville,GA
University of Georgia,admissions@uga.edu,Athens,GA
University of North Georgia,admissions@ung.edu,Dahlonega,GA
University System of Georgia,admissions@usg.edu,Atlanta,GA
Valdosta State University,admissions@valdosta.edu,Valdosta,GA
University of West Georgia,admissions@westga.edu,Carrollton,GA
Wiregrass Georgia Technical College,admissions@wiregrass.edu,Valdosta,GA
Brigham Young University Hawaii,admissions@byuh.edu,Laie,HI
Chaminade University,admissions@chaminade.edu,Honolulu,HI
University of Hawaii at Manoa,admissions@hawaii.edu,Honolulu,HI
Mid-Pacific Institute,admissions@midpac.edu,Honolulu,HI
AIB College of Business,admissions@aib.edu,Des Moines,IA
Central College,admissions@central.edu,Pella,IA
Coe College,admissions@coe.edu,Cedar Rapids,IA
Cornell College,admissions@cornellcollege.edu,Mount Vernon,IA
Des Moines Area Community College,admissions@dmacc.edu,Boone,IA
Dordt College,admissions@dordt.edu,Sioux Center,IA
Drake University,admissions@drake.edu,Des Moines,IA
Divine Word College,admissions@dwci.edu,Epworth,IA
Eastern Iowa Community Colleges,admissions@eicc.edu,Davenport,IA
Grinnell College,admissions@grinnell.edu,Grinnell,IA
Hawkeye Community College,admissions@hawkeyecollege.edu,Waterloo,IA
Iowa State University,admissions@iastate.edu,Ames,IA
Iowa Central Community College,admissions@iowacentral.edu,Fort Dodge,IA
Iowa Wesleyan College,admissions@iwc.edu,Mount Pleasant,IA
Iowa Western Community College,admissions@iwcc.edu,Council Bluffs,IA
Kaplan University,admissions@kaplanuniversity.edu,(multiple locations),IA
Kirkwood Community College,admissions@kirkwood.edu,Cedar Rapids,IA
La' James College,admissions@lajames.edu,Mason City,IA
Loras College,admissions@loras.edu,Dubuque,IA
Luther College,admissions@luther.edu,Decorah,IA
Maharishi University of Management,admissions@mum.edu,Fairfield,IA
Northeast Iowa Community College,admissions@nicc.edu,Calmar,IA
Palmer College of Chiropractic,admissions@palmer.edu,Davenport,IA
Saint Ambrose University,admissions@sau.edu,Davenport,IA
Simpson College,admissions@simpson.edu,Indianola,IA
Southwestern Community College,admissions@swcciowa.edu,(multiple locations),IA
Univeristy of Iowa,admissions@uiowa.edu,Iowa City,IA
Upper Iowa University,admissions@uiu.edu,Fayette,IA
University of Northern Iowa,admissions@uni.edu,Cedar Falls,IA
Wartburg College,admissions@wartburg.edu,Waverly,IA
Waldorf College,admissions@waldorf.edu,Forest City,IA
Boise State University,admissions@boisestate.edu,Boise,ID
Brigham Young University Idaho,admissions@byui.edu,Rexburg,ID
The College of Idaho,admissions@collegeofidaho.edu,Caldwell,ID
College of Southern Idaho,admissions@csi.edu,Twin Falls,ID
Idaho State University,admissions@isu.edu,Pocatello,ID
University of Idaho,admissions@uidaho.edu,Moscow,ID
Augustana College,admissions@augustana.edu,Rock Island,IL
Aurora University,admissions@aurora.edu,Aurora,IL
Benedictine University,admissions@ben.edu,Lisle,IL
Bradley University,admissions@bradley.edu,Peoria,IL
City Colleges of Chicago,admissions@ccc.edu,Chicago,IL
The University of Chicago Booth School of Business,admissions@chicagobooth.edu,Chicago,IL
College of Lake County,admissions@clcillinois.edu,Grayslake,IL
College of DuPage,admissions@cod.edu,Glen Ellyn,IL
Columbia College Chicago,admissions@colum.edu,Chicago,IL
Danville Area Community College,admissions@dacc.edu,Danville,IL
DePaul University,admissions@depaul.edu,Chicago,IL
Dominican University,admissions@dom.edu,River Forest,IL
Eastern Illinois University,admissions@eiu.edu,Charleston,IL
Elmhurst College,admissions@elmhurst.edu,Elmhurst,IL
Governors State,admissions@govst.edu,University Park,IL
Greenville College,admissions@greenville.edu,Greenville,IL
The Hadley School for the Blind,admissions@hadley.edu,Winnetka,IL
Harper College,admissions@harpercollege.edu,Palatine,IL
Heartland Community College,admissions@heartland.edu,Normal,IL
Illinois Central College,admissions@icc.edu,East Peoria,IL
Illinois College of Optometry,admissions@ico.edu,Chicago,IL
Illinois Institute of Technology,admissions@iit.edu,Chicago,IL
University of Illinois at Urbana-Champaign,admissions@illinois.edu,Champaign,IL
Illinois State University,admissions@illinoisstate.edu,Normal,IL
Illinois Mathematics and Science Academy,admissions@imsa.edu,Aurora,IL
Illinois Valley Community College,admissions@ivcc.edu,Oglesby,IL
Illinois Wesleyan University,admissions@iwu.edu,Bloomington,IL
John A. Logan College,admissions@jalc.edu,Carterville,IL
Joliet Junior College,admissions@jjc.edu,Joliet,IL
The John Marshall Law School,admissions@jmls.edu,Chicago,IL
Judson University,admissions@judsonu.edu,Elgin,IL
Kaskaskia College,admissions@kaskaskia.edu,Centralia,IL
Kankakee Community College,admissions@kcc.edu,Kankakee,IL
IIT Chicago-Kent College of Law,admissions@iit.edu,Chicago,IL
Kishwaukee College,admissions@kishwaukeecollege.edu,Malta,IL
Knox College,admissions@knox.edu,Galesburg,IL
Lake Forest College,admissions@lakeforest.edu,Lake Forest,IL
Lakeview College of Nursing,admissions@lakeviewcol.edu,Danville,IL
Lewis and Clark Community College,admissions@lc.edu,Godfrey,IL
Lewis University,admissions@lewisu.edu,Romeoville,IL
Lincoln Land Community College,admissions@llcc.edu,Springfield,IL
Loyola University Chicago,admissions@luc.edu,Chicago,IL
Midwestern Career College,admissions@mccollege.edu,Chicago,IL
McHenry County College,admissions@mchenry.edu,Crystal Lake,IL
McKendree University,admissions@mckendree.edu,Lebanon,IL
Midwestern University,admissions@midwestern.edu,(multiple locations),IL
Monmouth College,admissions@monmouthcollege.edu,Monmouth,IL
Moraine Valley Community College,admissions@morainevalley.edu,Palos Hills,IL
Morton College,admissions@morton.edu,Cicero,IL
Northeastern Illinois University,admissions@neiu.edu,Chicago,IL
Northern Illinois University,admissions@niu.edu,DeKalb,IL
National Louis University,admissions@nl.edu,Chicago,IL
North Park University,admissions@northpark.edu,Chicago,IL
Northwestern University,admissions@northwestern.edu,Evanston,IL
Oakton Community College,admissions@oakton.edu,Des Plaines,IL
Olivet Nazarene University,admissions@olivet.edu,Bourbonnais,IL
Chicago ORT Technical Institute,admissions@ortchicagotech.edu,Skokie,IL
Parkland College,admissions@parkland.edu,Champaign,IL
Prairie State College,admissions@prairiestate.edu,Chicago Heights,IL
Principia College,admissions@principiacollege.edu,Elsah,IL
Resurrection University,admissions@resu.edu,Chicago,IL
Robert Morris University Illinois,admissions@robertmorris.edu,Chicago,IL
Rockford University,admissions@rockford.edu,Rockford,IL
Rock Valley College,admissions@rockvalleycollege.edu,Rockford,IL
Roosevelt University,admissions@roosevelt.edu,Chicago,IL
Rosalind Franklin University,admissions@rosalindfranklin.edu,North Chicago,IL
Saint Anthony College of Nursing,admissions@sacn.edu,Rockford,IL
School of the Art Institute of Chicago,admissions@saic.edu,Chicago,IL
Saint Francis Medical Center College of Nursing,admissions@sfmccon.edu,Peoria,IL
Shawnee Community College,admissions@shawneecc.edu,Ullin,IL
Southeastern Illinois College,admissions@sic.edu,Harrisburg,IL
Southern Illinois University,admissions@siu.edu,Carbondale,IL
Southern Illinois University Edwardsville,admissions@siue.edu,Edwardsville,IL
Spoon River College,admissions@src.edu,Canton,IL
South Suburban College,admissions@ssc.edu,South Holland,IL
University of Saint Francis,admissions@stfrancis.edu,Joliet,IL
Southwestern Illinois College,admissions@swic.edu,(multiple locations),IL
Saint Xavier University,admissions@scu.edu,Chicago,IL
Trinity Christian College,admissions@trnty.edu,Palos Heights,IL
University of Chicago,admissions@uchicago.edu,Chicago,IL
University of Illinois at Chicago,admissions@uic.edu,Chicago,IL
University of Illinois,admissions@uillinois.edu,(multiple locations),IL
University of Illinois Springfield,admissions@uis.edu,Springfield,IL
University of Illinois at Urbana-Champaign,admissions@illinois.edu,Champaign,IL
Waubonsee Community College,admissions@waubonsee.edu,(multiple locations),IL
Wheaton College,admissions@wheaton.edu,Wheaton,IL
Western Illinois University,admissions@wiu.edu,Macomb,IL
Saint John's College,admissions@stjohnscollegespringfield.edu,Springfield,Ill
Anabaptist Mennonite Biblical Seminary,admissions@ambs.edu,Elkhart,IN
Anderson University,admissions@anderson.edu,Anderson,IN
Bethel College Indiana,admissions@bethelcollege.edu,Mishawaka,IN
Brown Mackie College,admissions@brownmackie.edu,(multiple locations),IN
Ball State University,admissions@bsu.edu,Muncie,IN
Butler University,admissions@butler.edu,Indianapolis,IN
DePauw University,admissions@depauw.edu,Greencastle,IN
Earlham College,admissions@earlham.edu,Richmond,IN
University of Evansville,admissions@evansville.edu,Evansville,IN
Goshen College,admissions@goshen.edu,Goshen,IN
Grace College and Seminary,admissions@grace.edu,Winona Lake,IN
Hanover College,admissions@hanover.edu,Hanover,IN
Harrison College,admissions@harrison.edu,Indianapolis,IN
Holy Cross College,admissions@hcc-nd.edu,Notre Dame,IN
Indiana University,admissions@indiana.edu,(multiple locations),IN
Indiana State University,admissions@indstate.edu,Terre Haute,IN
Indiana Wesleyan University,admissions@indwes.edu,Marion,IN
Indiana University - Purdue University Fort Wayne,admissions@ipfw.edu,Fort Wayne,IN
Indiana University,admissions@iu.edu,(multiple locations),IN
Indiana University Bloomington,admissions@iub.edu,Bloomington,IN
Indiana University East,admissions@iue.edu,Richmond,IN
Indiana University Northwest,admissions@iun.edu,Gary,IN
Indiana University - Purdue University Indianapolis,admissions@iupui.edu,Indianapolis,IN
Indiana University Southeast,admissions@ius.edu,New Albany,IN
Indiana University South Bend,admissions@iusb.edu,South Bend,IN
Ivy Tech Community College,admissions@ivytech.edu,Carmel,IN
Manchester University,admissions@manchester.edu,North Manchester,IN
Marian University Indianapolis,admissions@marian.edu,Indianapolis,IN
University of Notre Dame,admissions@nd.edu,Notre Dame,IN
Oakland City University,admissions@oak.edu,Oakland City,IN
Purdue University North Central,admissions@pnc.edu,Westville,IN
Purdue University,admissions@purdue.edu,West Lafayette,IN
Purdue University Calumet,admissions@purduecal.edu,Hammond,IN
Rose-Hulman Institute of Technology,admissions@rose-hulman.edu,Terre Haute,IN
Saint Mary's College,admissions@saintmarys.edu,Notre Dame,IN
Trine University,admissions@trine.edu,Angola,IN
University of Indianapolis,admissions@uindy.edu,Indianapolis,IN
University of Southern Indiana,admissions@usi.edu,Evansville,IN
Valparaiso University,admissions@valpo.edu,Valparaiso,IN
Wabash College,admissions@wabash.edu,Crawfordsville,IN
Benedictine College,admissions@benedictine.edu,Atchison,KS
Butler Community College,admissions@butlercc.edu,El Dorado,KS
Emporia State University,admissions@emporia.edu,Emporia,KS
Fort Hays State University,admissions@fhsu.edu,Hays,KS
Flint Hills Technical College,admissions@fhtc.edu,Emporia,KS
Fort Scott Community College,admissions@fortscott.edu,Horton Fort Scott,KS
Garden City Community College,admissions@gcccks.edu,Garden City,KS
Hesston College,admissions@hesston.edu,Hesston,KS
Highland Community College,admissions@highlandcc.edu,Highland,KS
Johnson County Community College,admissions@jccc.edu,Overland Park,KS
Kansas City Kansas Community College,admissions@kckcc.edu,Kansas City,KS
Kansas State University,admissions@k-state.edu,Manhattan,KS
The University of Kansas,admissions@ku.edu,Lawrence,KS
McPherson College,admissions@mcpherson.edu,McPherson,KS
Neosho County Community College,admissions@neosho.edu,Chanute,KS
Newman University,admissions@newmanu.edu,Wichita,KS
Pittsburg State University,admissions@pittstate.edu,Pittsburg,KS
Saint Paul School of Theology and Ministry,admissions@spst.edu,Overland Park,KS
Sterling College,admissions@sterling.edu,Sterling,KS
University of Saint Mary,admissions@stmary.edu,Leavenworth,KS
Washburn University,admissions@washburn.edu,Topeka,KS
Washburn University School of Law,admissions@washburnlaw.edu,Topeka,KS
Wichita State University,admissions@wichita.edu,Wichita,KS
Asbury University,admissions@asbury.edu,Wilmore,KY
Bellarmine University,admissions@bellarmine.edu,Louisville,KY
Berea College,admissions@berea.edu,Berea,KY
Centre College,admissions@centre.edu,Danville,KY
Eastern Kentucky University,admissions@eku.edu,Richmond,KY
Frontier Nursing University,admissions@frontier.edu,Hyden,KY
Georgetown College,admissions@georgetowncollege.edu,Georgetown,KY
Kentucky Community and Technical College System,admissions@kctcs.edu,Versailles,KY
Kentucky Christian University,admissions@kcu.edu,Grayson,KY
Kentucky State University,admissions@kysu.edu,Frankfort,KY
Lindsey Wilson College,admissions@lindsey.edu,Columbia,KY
The University of Louisville,admissions@louisville.edu,Louisville,KY
Midway College,admissions@midway.edu,Midwar,KY
Morehead State University,admissions@moreheadstate.edu,Morehead,KY
Murray State University,admissions@murraystate.edu,Murray,KY
Northern Kentucky University,admissions@nku.edu,Highland Heights,KY
The Southern Baptist Theological Seminary,admissions@sbts.edu,Louisville,KY
Saint Catharine College,admissions@sccky.edu,Saint Catharine,KY
Sullivan University,admissions@sullivan.edu,Louisville,KY
University of the Cumberlands,admissions@ucumberlands.edu,Williamsburg,KY
Western Kentucky University,admissions@wku.edu,Bowling Green,KY
Bossier Parish Community College,admissions@bpcc.edu,Bossier City,LA
Centenary College of Louisiana,admissions@centenary.edu,Shreveport,LA
Louisiana Tech University,admissions@latech.edu,Ruston,LA
Louisiana Culinary Institute,admissions@lci.edu,Baton Rouge,LA
University of Louisiana Lafayette,admissions@louisiana.edu,Lafayette,LA
Loyola University New Orleans,admissions@loyno.edu,New Orleans,LA
Louisiana State University,admissions@lsu.edu,Baton Rouge,LA
Louisiana State University - Eunice,admissions@lsue.edu,Eunice,LA
LSU Health Sciences Center - New Orleans,admissions@lsuhsc.edu,New Orleans,LA
LSU Health Sciences Center - New Orleans,admissions@lsuhscshreveport.edu,Shreveport,LA
Louisiana State University System,admissions@lsusystem.edu,Baton Rouge,LA
Nicholls State University,admissions@nicholls.edu,Thibodaux,LA
New Orleans Baptist Theological Seminary,admissions@nobts.edu,New Orleans,LA
Nunez Community College,admissions@nunez.edu,Chalmette,LA
Southeastern Louisiana University,admissions@southeastern.edu,Hammond,LA
Southern University,admissions@subr.edu,Baton Rouge,LA
Tulane University,admissions@tulane.edu,New Orleans,LA
University of Louisiana at Monroe,admissions@ulm.edu,Monroe,LA
University of New Orleans,admissions@uno.edu,New Orleans,LA
Xavier University of Louisiana,admissions@xula.edu,New Orleans,LA
Amherst College,admissions@amherst.edu,Amherst,MA
Assumption College,admissions@assumption.edu,Worcester,MA
Babson College,admissions@babson.edu,Babson Park,MA
Boston College,admissions@bc.edu,Chestnut Hill,MA
Bentley University,admissions@bentley.edu,Waltham,MA
Berklee College of Music,admissions@berklee.edu,Boston,MA
Berkshire Community College,admissions@berkshirecc.edu,Pittsfield,MA
The Boston Conservatory,admissions@bostonconservatory.edu,Boston,MA
Brandeis University,admissions@brandeis.edu,Waltham,MA
Bridgewater State University,admissions@bridgew.edu,Bridgewater,MA
Boston University,admissions@bu.edu,Boston,MA
Cambridge College,admissions@cambridgecollege.edu,Cambridge,MA
Clark University,admissions@clarku.edu,Worcester,MA
Curry College,admissions@curry.edu,Milton,MA
Elms College,admissions@elms.edu,Chicopee,MA
Emerson College,admissions@emerson.edu,Boston,MA
Emmanuel College,admissions@emmanuel.edu,Boston,MA
Endicott College,admissions@endicott.edu,Beverly,MA
Fitchburg State University,admissions@fitchburgstate.edu,Fitchburg,MA
Framingham State University,admissions@framingham.edu,Framingham,MA
Gordon Conwell Theological Seminary,admissions@gordonconwell.edu,South Hamilton,MA
Gordon College,admissions@gordon.edu,Wenham,MA
Hampshire College,admissions@hampshire.edu,Amherst,MA
Harvard University,admissions@harvard.edu,Cambridge,MA
Harvard Business School,admissions@hbs.edu,Boston,MA
College of the Holy Cross,admissions@holycross.edu,Worcester,MA
Lesley University,admissions@lesley.edu,Cambridge,MA
Massachusetts Maritime Academy,admissions@maritime.edu,Buzzards Bay,MA
Massachusetts Department of Higher Education,admissions@mass.edu,Boston,MA
Massachusetts College of Art and Design,admissions@massart.edu,Boston,MA
MassBay Community College,admissions@massbay.edu,Wellesley,MA
Marine Biological Laboratory,admissions@mbl.edu,Woods Hole,MA
Merrimack Education Center,admissions@mec.edu,Chelmsford,MA
Merrimack College,admissions@merrimack.edu,North Andover,MA
MGH Institute of Health Professions,admissions@mghihp.edu,Boston,MA
Milton Academy,admissions@milton.edu,Milton,MA
Massachusetts Institute of Technology,admissions@mit.edu,Cambridge,MA
Montserrat College of Art,admissions@montserrat.edu,Beverly,MA
Mount Ida College,admissions@mountida.edu,Newton,MA
Mount Holyoke College,admissions@mtholyoke.edu,South Hadley,MA
Middlesex Community College,admissions@mxcc.edu,Lowell,MA
Middlesex School,admissions@mxschool.edu,Lowell,MA
North Bennet Street School,admissions@nbss.edu,Boston,MA
New England Law - Boston,admissions@nesl.edu,Boston,MA
Northeastern University,admissions@northeastern.edu,Boston,MA
Olin College of Engineering,admissions@olin.edu,Needham,MA
Salem State University,admissions@salemstate.edu,Salem,MA
Simmons College,admissions@simmons.edu,Boston,MA
Smith College,admissions@smith.edu,Northampton,MA
Spa Tech Institute,admissions@spatech.edu,Ipswich,MA
Springfield College,admissions@springfieldcollege.edu,Springfield,MA
Springfield Technical Community College,admissions@stcc.edu,Springfield,MA
Suffolk University,admissions@suffolk.edu,Boston,MA
Boston Architectural College,admissions@the-bac.edu,Boston,MA
Tufts University,admissions@tufts.edu,Medford,MA
University of Massachusetts Amherst,admissions@umass.edu,Amherst,MA
University of Massachusetts Dartmouth,admissions@umassd.edu,Dartmouth,MA
University of Massachusetts Medical School,admissions@umassmed.edu,Worcester,MA
University of Massachusetts,admissions@umassp.edu,Amherst,MA
University of Massachusetts Boston,admissions@umb.edu,Boston,MA
University of Massachusetts Lowell,admissions@uml.edu,Lowell,MA
Wellesley College,admissions@wellesley.edu,Wellesley,MA
"Wheaton College, Norton",admissions@wheatoncollege.edu,Norton,MA
Wheelock College,admissions@wheelock.edu,Boston,MA
Williams College,admissions@williams.edu,Williamstown,MA
Western New England University,admissions@wne.edu,Springfield,MA
Worcester State University,admissions@worcester.edu,Worcester,MA
Worcester Polytechnic Institute,admissions@wpi.edu,Worcester,MA
Anne Arundel Community College,admissions@aacc.edu,Arnold,MD
Baltimore City Community College,admissions@bccc.edu,Baltimore,MD
Bowie State University,admissions@bowiestate.edu,Bowie,MD
Carroll Community College,admissions@carrollcc.edu,Westminster,MD
The Community College of Baltimore County,admissions@ccbcmd.edu,(multiple locations),MD
Chesapeake College,admissions@chesapeake.edu,Wye Mills,MD
Coppin State University,admissions@coppin.edu,Baltimore,MD
College of Southern Maryland,admissions@csmd.edu,La Plata,MD
Frederick Community College,admissions@frederick.edu,Frederick,MD
Frostburg State University,admissions@frostburg.edu,Frostburg,MD
Garrett College,admissions@garrettcollege.edu,McHenry,MD
Goucher College,admissions@goucher.edu,Baltimore,MD
Hagerstown Community College,admissions@hagerstowncc.edu,Hagerstown,MD
Harford Community College,admissions@harford.edu,Bel Air,MD
Hood College,admissions@hood.edu,Frederick,MD
Howard Community College,admissions@howardcc.edu,Columbia,MD
Johns Hopkins Bloomberg School of Public Health,admissions@jhsph.edu,Baltimore,MD
Johns Hopkins University,admissions@jhu.edu,Baltimore,MD
Loyola University Maryland,admissions@loyola.edu,Baltimore,MD
Montgomery Blair High School,admissions@mbhs.edu,Silver Spring,MD
McDaniel College,admissions@mcdaniel.edu,Westminster,MD
Maryland Institute College of Art,admissions@mica.edu,Baltimore,MD
Montgomery College,admissions@montgomerycollege.edu,Montgomery County,MD
Mount Saint Mary's University,admissions@msmary.edu,Emmitsburg,MD
Maryland University of Integrative Health,admissions@muih.edu,Laurel,MD
Prince George's Community College,admissions@pgcc.edu,Largo,MD
Salisbury University,admissions@salisbury.edu,Salisbury,MD
Sojourner-Douglass College,admissions@sdc.edu,Baltimore,MD
Saint Mary's College of Maryland,admissions@smcm.edu,Saint Mary's City,MD
Saint James School,admissions@stjames.edu,Hagerstown,MD
Towson University,admissions@towson.edu,Towson,MD
University of Baltimore,admissions@ubalt.edu,Baltimore,MD
University of Maryland,admissions@umaryland.edu,Baltimore,MD
University of Maryland Baltimore County,admissions@umbc.edu,Baltimore,MD
University of Maryland,admissions@umd.edu,College Park,MD
University of Maryland University College,admissions@umuc.edu,Adelphi,MD
University System of Maryland,admissions@usmd.edu,Adelphi,MD
United States Naval Academy,admissions@usna.edu,Annapolis,MD
Washington College,admissions@washcoll.edu,Chestertown,MD
Wor-Wic Community College,admissions@worwic.edu,Salisbury,MD
Saint John's College,admissions@sjc.edu,Annapolis,MD
Bates College,admissions@bates.edu,Lewiston,ME
Bowdoin College,admissions@bowdoin.edu,Brunswick,ME
Central Maine Community College,admissions@cmcc.edu,Auburn,ME
College of the Atlantic,admissions@coa.edu,Bar Harbor,ME
Colby College,admissions@colby.edu,Waterville,ME
Husson University,admissions@husson.edu,Bangor,ME
Maine Maritime Academy,admissions@mainemaritime.edu,Castine,ME
Northern Maine Community College,admissions@nmcc.edu,Presque Isle,ME
Saint Joseph's College,admissions@sjcme.edu,Standish,ME
Southern Maine Community College,admissions@smccme.edu,South Portland,ME
University of Maine,admissions@umaine.edu,Orono,ME
University of Maine Fort Kent,admissions@umfk.edu,Fort Kent,ME
University of Maine at Presque Isle,admissions@umpi.edu,Presque Isle,ME
University of New England,admissions@une.edu,Biddeford,ME
Unity College,admissions@unity.edu,Unity,ME
York County Community College,admissions@yccc.edu,Wells,ME
University of Main at Augusta,admissions@uma.edu,Augusta,ME
Adrian College,admissions@adrian.edu,Adrian,MI
Albion College,admissions@albion.edu,Albion,MI
Alma College,admissions@alma.edu,Alma,MI
Alpena Community College,admissions@alpenacc.edu,Alpena,MI
Andrews University,admissions@andrews.edu,Berrien Springs,MI
Aquinas College,admissions@aquinas.edu,Grand Rapids,MI
Baker College,admissions@baker.edu,(multiple locations),MI
Bay College,admissions@baycollege.edu,Escanaba,MI
Calvin College,admissions@calvin.edu,Grand Rapids,MI
Central Michigan University,admissions@cmich.edu,Mount Pleasant,MI
College for Creative Studies,admissions@collegeforcreativestudies.edu,Detroit,MI
Cornerstone University,admissions@cornerstone.edu,Grand Rapids,MI
Davenport University,admissions@davenport.edu,Grand Rapids,MI
Delta College,admissions@delta.edu,University Center,MI
Douglas J. Aveda Institute,admissions@douglasj.edu,Ann Arbor,MI
Eastern Michigan University,admissions@emich.edu,Ypsilanti,MI
Ferris State University,admissions@ferris.edu,Big Rapids,MI
Finlandia University,admissions@finlandia.edu,Hancock,MI
Grand Rapids Community College,admissions@grcc.edu,Grand Rapids,MI
Grand Valley State University,admissions@gvsu.edu,Allendale,MI
Henry Ford College,admissions@hfcc.edu,Dearborn,MI
Hillsdale College,admissions@hillsdale.edu,Hillsdale,MI
Hope College,admissions@hope.edu,Holland,MI
Jackson College,admissions@jccmi.edu,Jackson,MI
Kettering University,admissions@kettering.edu,Flint,MI
Kalamazoo Valley Community College,admissions@kvcc.edu,Kalamazoo,MI
Kalamazoo College,admissions@kzoo.edu,Kalamazoo,MI
Lake Michigan College,admissions@lakemichigancollege.edu,Benton Harbor,MI
Lansing Community College,admissions@lcc.edu,Lansing,MI
Lake Superior State University,admissions@lssu.edu,Marietta,MI
Lawrence Technological University,admissions@ltu.edu,Southfield,MI
Macomb Community College,admissions@macomb.edu,Warren,MI
Marygrove College,admissions@marygrove.edu,Detroit,MI
Monroe County Community College,admissions@monroeccc.edu,Monroe,MI
Michigan State University,admissions@msu.edu,East Lansing,MI
Michigan Technological University,admissions@mtu.edu,Houghton,MI
Northwestern Michigan College,admissions@nmc.edu,Traverse City,MI
Northern Michigan University,admissions@nmu.edu,Marquette,MI
Oakland Univeristy,admissions@oakland.edu,Rochester,MI
Oakland Community College,admissions@oaklandcc.edu,Bloomfield Hills,MI
Saginaw Chippewa Tribal College,admissions@sagchip.edu,Mount Pleasant,MI
Saginaw Valley State University,admissions@svsu.edu,University Center,MI
University of Detroit Mercy,admissions@udmercy.edu,Detroit,MI
University of Michigan-Flint,admissions@umflint.edu,Flint Township,MI
University of Michigan,admissions@umich.edu,Ann Arbor,MI
Wayne State,admissions@wayne.edu,Detroit,MI
Washtenaw Community College,admissions@wccnet.edu,Ann Arbor,MI
Western Michigan University,admissions@wmich.edu,Kalamazoo,MI
Alexandria Technical & Community College,admissions@alextech.edu,Alexandria,MN
Anoka-Ramsey Community College,admissions@anokaramsey.edu,Cambridge,MN
Augsburg College,admissions@augsburg.edu,Minneapolis,MN
Bemidji State University,admissions@bemidjistate.edu,Bemidji,MN
Bethel University,admissions@bethel.edu,Saint Paul,MN
Carleton College,admissions@carleton.edu,Northfield,MN
Century College,admissions@century.edu,White Bear Lake,MN
Central Lakes College,admissions@clcmn.edu,Brainerd,MN
Concordia College,admissions@cord.edu,Moorhead,MN
Crown College,admissions@crown.edu,Saint Bonifacius,MN
"College of Saint Benedict, Saint John's University",admissions@csbsju.edu,Saint Joseph,MN
Concordia University Saint Paul,admissions@csp.edu,Saint Paul,MN
The College of Saint Scholastica,admissions@css.edu,Duluth,MN
Dakota County Technical College,admissions@dctc.edu,Rosemount,MN
Gustavus Adolphus College,admissions@gustavus.edu,Saint Peter,MN
Globe University,admissions@globeuniversity.edu,(multiple locations),MN
Hamline University,admissions@hamline.edu,Saint Paul,MN
Inver Hills Community College,admissions@inverhills.edu,Inver Grove Heights,MN
Institute of Production and Recording,admissions@ipr.edu,Minneapolis,MN
Leech Lake Tribal College,admissions@lltc.edu,Cass Lake,MN
Luther Seminary,admissions@luthersem.edu,Saint Paul,MN
Macalester College,admissions@macalester.edu,Saint Paul,MN
McNally Smith College of Music,admissions@mcnallysmith.edu,Saint Paul,MN
Mesabi Range College,admissions@mesabirange.edu,Eveleth,MN
Metropolitan State University,admissions@metrostate.edu,Saint Paul,MN
Minnesota State University Moorhead,admissions@mnstate.edu,Moorhead,MN
Minnesota State University Mankato,admissions@mnsu.edu,Mankato,MN
North Hennepin Community College,admissions@nhcc.edu,North Brooklyn Park,MN
Normandale Community College,admissions@normandale.edu,Bloomington,MN
Rasmussen College,admissions@rasmussen.edu,(multiple locations),MN
Ridgewater College,admissions@ridgewater.edu,Willmar,MN
Southwest Minnesota State University,admissions@smsu.edu,Marshall,MN
Saint Mary's University of Minnesota,admissions@smumn.edu,Winona,MN
South Central College,admissions@southcentral.edu,(multiple locations),MN
Saint Cloud State University,admissions@stcloudstate.edu,Saint Cloud,MN
Saint Olaf College,admissions@stolaf.edu,Northfield,MN
University of Saint Thomas,admissions@stthomas.edu,Saint Paul,MN
University of Minnesota,admissions@umn.edu,Minneapolis,MN
United Theological Seminary of the Twin Cities,admissions@unitedseminary.edu,New Brighton,MN
University of Northwestern Saint Paul,admissions@unwsp.edu,Saint Paul,MN
Walden University,admissions@waldenu.edu,Minneapolis,MN
Winona State Unviversity,admissions@winona.edu,Winona,MN
Assemblies of God Theological Seminary,admissions@agts.edu,Springfield,MO
Aquinas Institute of Theology,admissions@ai.edu,St. Louis,MO
A.T. Still University,admissions@atsu.edu,Kirksville,MO
Avila University,admissions@avila.edu,Kansas City,MO
Columbia College,admissions@ccis.edu,Columbia,MO
Central Methodist University,admissions@centralmethodist.edu,Fayette,MO
